-like	sؤپn<br><br>
frostbite	sarmؤپzadegi; sarmؤپzadeة،i<br><br>
frostbitten	sarmؤپzade<br><br>
frosted	yaxzade<br><br>
frosty	yaxzade<br><br>
froth	ezhؤپr kardan; kaf kardan; sedؤپ zadan; yؤپve<br><br>
frown	axm; axm kardan; ruy darham keإ،idan<br><br>
frowsty	kapakzade<br><br>
frowsy	torإ،ide<br><br>
frozen	ferizإ،ode; monjamed; sarmؤپzade; yaxzade<br><br>
frugal	bؤپsarfe; miyؤپnero; moqtased; sarfeju<br><br>
fruit	mive; mive dؤپdan; samar; samare<br><br>
fruit and vegetable market	sabzemeydؤپn<br><br>
fruit basket	sabad-e mive<br><br>
fruit cake	keyk-e mivei<br><br>
fruit juice	ؤپbmive<br><br>
fruit seller	miveforuإ،<br><br>
fruit shop	miveforuإ،i<br><br>
fruitage	mive; mivejؤپt<br><br>
fruitful	bؤپrvar; mosmeresamar; porbؤپr; zؤپyؤپ<br><br>
fruiting	mivedehande<br><br>
fruition	barxordؤپri<br><br>
fruitless	bisamar<br><br>
fruits	mivejؤپt<br><br>
fruity	mivei<br><br>
frustrate	aqim gozؤپrdan; aqim kardan; bؤپtel kardan; fekr-e kas-i xarؤپb kardan; hic kardan; moxtal kardan; nؤپomid kardan; xonsؤپ kardan; xonsؤپ nemudan<br><br>
frustrating	nؤپomidkonande<br><br>
frustration	aqimgozؤپri; mahrumiyat; mahrumsؤپzi; nؤپomidi; sarxordeة،i; xonsؤپsؤپzi<br><br>
fry	beryؤپni; sorx kardan; sorx إ،odan<br><br>
fryer	sorxkon<br><br>
frying pan	mؤپhitؤپbe<br><br>
ftabzdh	ؤپftؤپbzade<br><br>
fuchsia	ة،alؤپviz<br><br>
fuck	gؤپyidan (gؤپ(y)); kardan (kon); kos kardan<br><br>
fudge	penhؤپn إ،odan<br><br>
fuel	suxt; taqviyat<br><br>
fuel oil	naft-e suxti<br><br>
fuel tank	bؤپk; bؤپk-e benzin; tؤپnk-e benzin<br><br>
fueling	suxtresؤپni<br><br>
fugitive	farؤپr; farؤپri; motevؤپri; panؤپhande; tab'idi<br><br>
fugleman	sarmaإ،q<br><br>
fulcrum	noqteâ€Œ-ye ettekؤپ; إ،ؤپhin-e tarؤپzu<br><br>
fulfil	bar ؤپvardan<br><br>
fulfill	anjؤپm dؤپdan; bar ؤپvardan; takmil kardan; tamؤپm kardan<br><br>
fulfilling	xoإ،nudkonande<br><br>
fulfillment	anjؤپm; ejrؤپ<br><br>
fulfilment	ejrؤپ<br><br>
fulgurate	ؤپzaraxإ، zadan; barq zadan<br><br>
full	ؤپkande; anbؤپإ،te; bؤپleq; kؤپmel; labriz; mamlov; mofassal; motlaq; por; porإ،ode; sarإ،ؤپr; sir; tamؤپm<br><br>
full board	otؤپq bؤپ qazؤپ-ye kؤپmel; otؤپq bؤپ s-e va'd-e qazؤپ<br><br>
full gas	taxtegؤپz<br><br>
full moon	badr; mؤپh-e إ،ab-e cؤپhؤپrdah; mؤپh-e tamؤپm<br><br>
full of	por az<br><br>
full of bless	porbarekat<br><br>
full of energy	porenerإ¾i<br><br>
full tilt	besor'at<br><br>
full to the brim	mؤپlؤپmؤپl<br><br>
full-blood	hamxun<br><br>
full-blown	bؤپz<br><br>
full-fledged	takؤپmolyؤپfte<br><br>
full-scale	tamؤپm'ayؤپr<br><br>
full-time	tamؤپmvaqt<br><br>
fuller	إ،iyؤپrdؤپr kardan<br><br>
fullness	pori; sarإ،ؤپri; siri<br><br>
fully	kؤپmelan; tamؤپman<br><br>
fulminate	mohtareq إ،odan; monfajer إ،odan; qorridan<br><br>
fulsome	eqrؤپqؤپmiz<br><br>
fumble	eإ،tebؤپh; eإ،tebؤپh kardan; menmen kardan<br><br>
fume	boxؤپr; dud; dud dؤپdan; ة،ؤپz<br><br>
fumigate	dud dؤپdan<br><br>
fumigation	boxur<br><br>
fun	bؤپzi; bؤپzice; sarة،arm; sarة،armi; sarة،armkonande; إ،uxi; إ،uxi kardan<br><br>
function	amal (a'mؤپl); amal kardan; kؤپr; kؤپr kardan; kؤپrkard; kؤپrkerd; tؤپbe'; vazife<br><br>
functional	dar hؤپl-e kؤپr; tؤپbei; vazifedؤپr; vazifeâ€Œi; vazifeâ€Œmandi<br><br>
functionary	kؤپrة،ozؤپr; ma'mur<br><br>
functioning	dؤپyer<br><br>
functions	tavؤپbe'<br><br>
functor	anjؤپmdehande<br><br>
fund	poإ،tvؤپne; sanduq; sarmؤپye; sarmؤپyegozؤپri kardan; sarmؤپyeâ€Œ-ye hamiإ،egi; tahiyeâ€Œ-ye vajh kardan; tanxؤپh; vojuh; zaxireâ€Œ-ye vojuh-e ehtiyؤپti<br><br>
fundament	asؤپs; pey<br><br>
fundamental	asؤپsi; bonyؤپdi; bonyؤپdin; bonyؤپni; pؤپyei; taإ،kildehande<br><br>
fundamentalism	osulة،erؤپyi<br><br>
fundamentalist	osulة،arؤپ<br><br>
funding	manؤپbe-e mؤپli<br><br>
funds	mؤپye<br><br>
funeral	dafn; kafnodafn; majles-e tarhim; marؤپsem-e azؤپdؤپri; marؤپsem-e tadfin; tadfin; tarhim; taإ،yi'; taإ،yiejenؤپze; taإ،yi'yenؤپze; xؤپksepؤپri<br><br>
fungi	qؤپrc<br><br>
fungus	qؤپrc<br><br>
funk	bim; harؤپs<br><br>
funnel	bؤپdة،ir; qif<br><br>
funny	bؤپmaze; bؤپnamak; bazleة،u; mozhek; إ،ؤپdiؤپvar; إ،ux; إ،uxtab'; xandeؤپvar; xandedؤپr<br><br>
funny man	mezؤپh<br><br>
fur	pustin; xaz<br><br>
fur coat	pؤپltowpust; pustin<br><br>
furbish	jalؤپ dؤپdan; pardؤپxt kardan<br><br>
furcate	monإ،aeb إ،odan<br><br>
furious	xaإ،mة،in; xaإ،mnؤپk<br><br>
furiously	xaإ،mة،inؤپne<br><br>
furl	picidan; tumؤپr<br><br>
furlough	moraxxas kardan<br><br>
furnace	boxؤپri; diة،; kure; moإ،tael kardan; tanur<br><br>
furnish	mojahhaz kardan; rusؤپzi; tahiye kardan<br><br>
furnished	moble<br><br>
furnishings	asؤپs<br><br>
furniture	asؤپsiye; asbؤپb; asbؤپb-o asؤپsiye; mobl; moblemؤپn; vasؤپyel<br><br>
furniture store	moblforuإ،i<br><br>
furred	bؤپrdؤپr<br><br>
furrow	إ،iyؤپr; إ،iyؤپrdؤپr kardan<br><br>
furry	paإ،min<br><br>
further	baâ€™di; badi; ba'di; bealؤپve; biإ،tar; digar; diة،ar; ezؤپfi; jelow bordan; mojaddad; piإ، bordan; piإ،raft kardan<br><br>
furthermore	afzunbarin; alؤپvebarin; azingozaإ،te; bealؤپve; gozaإ،te az in; vؤپnة،ahi<br><br>
furthermost	durtarin<br><br>
furtive	nahؤپni<br><br>
furuncle	kurak<br><br>
fury	qazab<br><br>
fuse	fiyuz; ة،odؤپxtan; zowb إ،odan<br><br>
fused	zowbإ،ode<br><br>
fuselage	badane; badane-ye havؤپpeymؤپ<br><br>
fusiform	dukiإ،ekl<br><br>
fusilier	tofanة،dؤپr<br><br>
fusillade	tirbؤپrؤپn<br><br>
fusing	izoة،ؤپm; izoة،ؤپmi<br><br>
fusion	ؤپmizeإ،; edqؤپm; hamؤپmixteة،i; hamؤپmizi; hamjuإ،i; zowb<br><br>
fuss	eâ€™terؤپz kardan; irؤپd gereftan; sarosedؤپ; talؤپإ،; xordeة،iri<br><br>
fustian	laffؤپzi<br><br>
fustigate	cub zadan; enteqؤپd kardan<br><br>
fusty	buة،erefte<br><br>
futile	biasar; bifؤپyede; bihude; xonsؤپ<br><br>
futility	puci<br><br>
futsal	futsؤپl<br><br>
future	ؤپti; ؤپtiye; ؤپyande; ؤپyandeة،ؤپn; ba'di; mostaqbal; zamؤپn-e ؤپyande<br><br>
future tense	zamؤپn-e ؤپyande<br><br>
future time	mostaqbal; zamؤپn-e ؤپyande<br><br>
futures	ؤپyandeؤپndiإ،i<br><br>
futuristic	ؤپyandeneة،arؤپne<br><br>
futurity	ؤپxerat<br><br>
gab	doruq goftan<br><br>
gabber	lؤپfzan; porharf<br><br>
gabble	ة،ap; verrؤپji<br><br>
gable roof	إ،irvؤپni<br><br>
Gabriel	soruإ،; yebreyil<br><br>
gadabout	avؤپre; darbedar<br><br>
gadfly	xarmaة،as<br><br>
gadget	abzؤپr; anbar; anbor; asbؤپb; mekؤپniki<br><br>
gaff	canة،ak<br><br>
gaffe	eإ،tebؤپh; eإ،tebؤپh dar goftؤپr yؤپ kerdؤپr; eإ،tebؤپh kardan; laqzeإ،; xabt<br><br>
gag	mahdud kardan<br><br>
gaga	delإ،ekaste; إ،ifte<br><br>
gage	andؤپze gereftan; andؤپzeة،ir; gerow; ة،erow; gerow dؤپdan; gerow gozؤپإ،tan; haqqozzahme; moteahhed إ،odan; إ،art bastan<br><br>
gagger	faribdehande<br><br>
gahandn	ؤپة،ؤپhؤپndan<br><br>
gahknndh	ؤپة،ؤپhkonande<br><br>
gaiety	إ،ؤپdmؤپni; xoإ،nudi<br><br>
gaily	porzarqobarq<br><br>
gain	afzؤپyeإ،; be dast ؤپvardan; behbudi yؤپftan; estefؤپde; fؤپyede; fؤپyedeâ€Œ bordan; fؤپyedeâ€Œ didan; hosul; kasb kardan; manfeat; manfeat (manؤپfe'); nؤپel إ،odan; naf'; peydؤپ kardan; piإ، raftan; qaraz; residan; sarfe; sud; sud bordan; tasxir kardan; ziyؤپd إ،odan<br><br>
gain victory	piruz إ،odan<br><br>
gained	bedastؤپmade<br><br>
gaining	dastyؤپbi<br><br>
gait	qadam zadan; rؤپh raftan<br><br>
gal	doxtar<br><br>
galactic	kahkeإ،ؤپni<br><br>
galaxy	kahkeإ،ؤپn<br><br>
gale	bؤپd; tufؤپn<br><br>
galea	kolؤپhxud; xod<br><br>
galena	ة،ؤپlon<br><br>
gall	safrؤپ; zahre; zardؤپb<br><br>
gall nipper	sؤپs<br><br>
gallant	delؤپvar; zanbؤپz<br><br>
gallantry	reإ،ؤپdat; salahإ،uri; إ،ojؤپat<br><br>
gallbladder	kise-ye safrؤپ<br><br>
gallery	ة،ؤپleri; namؤپyeإ،gؤپh; negؤپrxؤپne; neة،ؤپrxؤپne; sؤپlon; sarsarؤپ<br><br>
galley	ؤپإ،pazxؤپne<br><br>
galligaskins	إ،ort<br><br>
galling	suzؤپn<br><br>
gallinipper	sؤپs<br><br>
gallon	ة،ؤپlon<br><br>
galloon	ة،olؤپbetun<br><br>
gallop	cؤپhؤپrna'l; tؤپxt<br><br>
gallows	dؤپr; e'dؤپm<br><br>
galoot	bandbؤپz<br><br>
galore	fattofarؤپvؤپn<br><br>
galosh	ة،ؤپleإ،<br><br>
galvanized	ة،ؤپlvؤپnize<br><br>
gam	bؤپzdid kardan; dandؤپn<br><br>
gambado	joftak<br><br>
Gambia	ة،ؤپmbiyؤپ<br><br>
Gambian	ة،ؤپmbiyؤپyi<br><br>
gambit	bazle<br><br>
gamble	qomؤپr; qomؤپr kardan; إ،artbandi kardan<br><br>
gambler	qomؤپrbؤپz<br><br>
gambling	qomؤپr; qomؤپrbؤپzi<br><br>
gambol	jastoxiz kardan; jost<br><br>
game	bؤپzi; mosؤپbeqe; mosؤپbeqe (mosؤپbeqؤپt); إ،ekؤپr; tafrih kardan<br><br>
gamekeeper	إ،ekؤپrbؤپn<br><br>
gameness	jؤپnsaxti<br><br>
gamesome	delxoإ،<br><br>
gaming	bؤپzi<br><br>
gammon	lؤپf zadan<br><br>
gamut	henة،ؤپm; hite; vos'at<br><br>
gander	gardeإ، kardan; neة،ؤپh<br><br>
gang	bؤپnd; dؤپrodaste; daste; gؤپmbar dؤپri; goruh<br><br>
gang of robbers	bؤپnd-e sؤپreqin<br><br>
ganglion	barؤپmadegi; ة،ereh<br><br>
gangster	owbؤپإ،<br><br>
gaol	mahbas; zendؤپn<br><br>
gap	dahane; darz; rexne; إ،aqq; إ،ekؤپf; vaqfe; xala'; yektane<br><br>
gape	xamyؤپze; xamyؤپze keإ،idan; xire negؤپh kardan<br><br>
gaping	xamyؤپze<br><br>
garage	gؤپrؤپإ¾; ة،ؤپrؤپإ¾; taâ€™mirgؤپh<br><br>
garb	kesvat; lebؤپs<br><br>
garbage	ؤپإ،qؤپl; eإ،qؤپl; fozulؤپt; noxؤپle; rude; xؤپkrube; xaإ،; zobؤپle<br><br>
garbage bag	kise-ye zobؤپle<br><br>
garbage bin	ؤپإ،qؤپldؤپn<br><br>
garbage collection	jam'ؤپvari-ye zobؤپle<br><br>
garbage dump	zobؤپledؤپni<br><br>
garble	alak kardan; fozulؤپt; tahrif; tahrif kardan; zؤپyeؤپt<br><br>
garbled	ؤپإ،ofte; darham<br><br>
garden	bؤپq; bؤپqce; bustؤپn<br><br>
garden cress	إ،ؤپhi<br><br>
garden variety	bؤپq-e melli<br><br>
gardener	bؤپqbؤپn<br><br>
gardenia	yؤپsaman<br><br>
gardening	bؤپqbؤپni; bؤپqdؤپri<br><br>
garfish	saة،mؤپhi<br><br>
Gargantuan	azimojjosse<br><br>
gargle	qerqere kardan<br><br>
gargoyle	rؤپhؤپb<br><br>
garish	إ،o'levar; zanande<br><br>
garland	halqe-ye gol<br><br>
garlic	sir<br><br>
garment	jؤپme; puإ،ؤپk; qabؤپ; raxt<br><br>
garner	anbؤپr kardan<br><br>
garnet	la'l<br><br>
garnish	cؤپإ،ni zadan<br><br>
garnishment	taz'in<br><br>
garniture	tazyin<br><br>
garrison	moqim kardan; mostaqar kardan; pؤپdeة،ؤپn<br><br>
garrison house	pؤپdeة،ؤپn<br><br>
garter	band zadan; band-e jurؤپb; keإ،-e jurؤپb<br><br>
gas	benzin; gؤپz; ة،ؤپz<br><br>
gas bottle	kapsul-e gؤپz<br><br>
gas cylinder	kapsul-e gؤپz<br><br>
gas delivery	ة،ؤپzresؤپni<br><br>
gas log	ة،ؤپzsuz<br><br>
gas pedal	gؤپz; pedؤپl-e gؤپz<br><br>
gas pipeline	xatt-e lule-ye gؤپz<br><br>
gas station	pompbenzin<br><br>
gas stove	ojؤپqgؤپz<br><br>
gascon	lؤپfzan<br><br>
gasconade	lؤپfzani; rajazxؤپni; xodforuإ،i; xodsetؤپyi<br><br>
gaseous	boxؤپri; ة،ؤپzi<br><br>
gash	borideة،i; lؤپf; xoإ،lebؤپs; zaxm; zaxm zadan; zaxm-e amiq<br><br>
gasket	lؤپyi<br><br>
gasoline	benzin; ة،ؤپzoyil<br><br>
gasp	borideâ€Œ-boride nafas keإ،idan; nafasboride; nafas-nafas zadan<br><br>
gasser	xodsetؤپ<br><br>
gassing	xodsetؤپyi<br><br>
gassy	ة،ؤپzdؤپr<br><br>
gastric ulcer	saxmeme'de<br><br>
gastronome	xoإ،xorؤپk<br><br>
gate	darice; darvؤپze; geyt; vorudiye<br><br>
gatekeeper	darvؤپzebؤپn; serؤپydؤپr<br><br>
gateway	darvؤپze<br><br>
gather	bozorg إ،odan; farؤپham ؤپvardan; gerd ؤپvardan; gerd kardan; ة،erdؤپmadan; gerdؤپvari kardan; gerdeham ؤپmadan (ؤپ); jam' kardan; jam' إ،odan; jamâ€™ kardan; jamâ€™ إ،odan; natijeâ€Œ gereftan<br><br>
gathered	farؤپham; ة،erdؤپmade; ة،erdؤپvarde; ة،erdؤپvariإ،ode<br><br>
gatherer	gerdؤپvarande; jamâ€™konandeâ€Œ; jam'konande<br><br>
gathering	ة،erdؤپvar; gerdؤپvari; ة،erdؤپvari; ة،erdehamؤپyi; jamâ€™ؤپvari<br><br>
gau	إ،art bastan<br><br>
gauche	capdast<br><br>
gaucherie	nؤپإ،iة،ari<br><br>
gaud	zivarؤپlؤپt<br><br>
gaudy	jelf; porzarqobarq<br><br>
gauge	andؤپze; andؤپze gereftan; andؤپzeة،ir; ؤپzmؤپyeإ، kardan; daraje; gerow gozؤپإ،tan; meqyؤپs; peymؤپne; peymؤپne kardan<br><br>
gauging	peymؤپyeإ،<br><br>
gaum	ؤپqeإ،tan<br><br>
gaunt	lؤپqar<br><br>
gauze	tur<br><br>
gavel	rebؤپ<br><br>
gavelock	zubin<br><br>
gay	farؤپx; hamjens; hamjensbؤپz; hamjensة،erؤپ; إ،ؤپdؤپn; إ،ؤپdؤپni; sardamؤپq; xoإ،vaqt<br><br>
gayness	sarzendeة،i<br><br>
gaysome	xoإ،tabâ€™<br><br>
gaze	bؤپ deqqat negؤپh kardan; ceإ،m duxtan; xire negؤپh kardan; xire إ،odan; zolzol negؤپh kardan<br><br>
gazelle	qazؤپl<br><br>
gazette	jaride; majalle<br><br>
gazing	neة،arؤپn; xirekonande<br><br>
gear	afzؤپr; ؤپlؤپt; carxdandedؤپr; dande; dandeâ€Œdؤپr kardan; lavؤپzem; puإ،ؤپnidan<br><br>
gear box	ja'bedande<br><br>
gear-wheel	carxdande<br><br>
gearbox	ja'bedande<br><br>
gears	girboks<br><br>
gearwheel	carxdande<br><br>
gee	hin<br><br>
gee!	hey; hin<br><br>
geezo	mahkum<br><br>
Gehenna	mahbas<br><br>
gel	إ¾elؤپtin<br><br>
gelatin	إ¾elؤپtin<br><br>
gelatine	dalame<br><br>
gelled	إ¾elei<br><br>
gels	إ¾el<br><br>
gem	ة،owhar; javؤپher; javؤپherneإ،ؤپn kardan; morassaâ€™ kardan; sang-e gerؤپnbahؤپ<br><br>
geminate	dolؤپ; doqolu; dotؤپ; joft; joft kardan; towam kardan<br><br>
gemma	dokme<br><br>
gendarme	إ¾ؤپndؤپrm<br><br>
gendarmerie	amniye; إ¾ؤپndؤپrmeri<br><br>
gendarmery	إ¾ؤپndؤپrmeri<br><br>
gender	jens; jens (ajnؤپs); yensiyati<br><br>
gene	إ¾en; إ¾eni<br><br>
gene therapy	إ¾endarmؤپni<br><br>
genealogy	dudmؤپn; nasab; إ،ajarenؤپme<br><br>
general	ؤپmm; hameة،ؤپn; hamegؤپni; hameة،ؤپni; jؤپme'; kolli; kolliyؤپt; morإ،ed; omumi; qؤپbeletaâ€™mim; sarkarde; timsؤپr; إ¾enerؤپl<br><br>
general consul	sarkonsul<br><br>
general consulate	sarkonsulgari<br><br>
general manager	modirkoll<br><br>
general practitioner	pezeإ،k-e omumi; pezeإ،k-e xؤپnevؤپde; pezeإ،k-e xؤپnevؤپdegi<br><br>
general secretary	dabirekol(l)<br><br>
general strike	e'tesؤپb-e hamegؤپni<br><br>
general trend	gerؤپyeإ،-e omumi<br><br>
generalissimo	sepahsؤپlؤپr<br><br>
generalities	kolliyؤپt<br><br>
generality	omum; umumiyat<br><br>
generalization	ta'mim<br><br>
generalize	omumiyat dؤپdan; taâ€™mim dؤپdan; ta'mim dؤپdan<br><br>
generalized	kolli<br><br>
generally	betorekolli; darkoll; kollan; ma'mulan; omuman<br><br>
generally speaking	kolliة،uyi<br><br>
generate	be vojud ؤپvardan; hؤپsel kardan; tanؤپsol kardan; towlid kardan; towlid-e niru kardan; zؤپdan; zؤپyidan<br><br>
generated	mowlud<br><br>
generating	movalled<br><br>
generation	nasl; towlid; zؤپyeإ،<br><br>
generative	towlidi<br><br>
generator	dinؤپm; movalled; إ¾enerؤپtor<br><br>
generatrix	movalled<br><br>
generic	jensi; kolli<br><br>
generosity	sexؤپvat<br><br>
generous	baxإ،ande; dastodelbؤپz; dastodelbؤپzi; javؤپnmard; saxi; sexؤپvatmand<br><br>
genesis	peydؤپyeإ،; takvin; towlid<br><br>
genetic	peydؤپyeإ،i; takvini; إ¾enetik; إ¾enetiki<br><br>
genetical	peydؤپyeإ،i; takvini<br><br>
genetics	إ¾enetik<br><br>
genial	xeyr; xoإ،maإ،rab; xunة،arm<br><br>
geniality	xoإ،maإ،rabi; xunة،armi<br><br>
geniculate	xamإ،ode<br><br>
geniculated	xamإ،ode<br><br>
genital	tanؤپsoli<br><br>
genitive conjunction	e<br><br>
geniture	tavallod<br><br>
genius	damؤپq; nؤپbeqe; nؤپbeqe (navؤپbeq); nobuq; إ¾eni<br><br>
genocide	naslkoإ،i<br><br>
genre	daste; jens; jur; now'; qasam; tarz<br><br>
gent	ؤپqؤپ<br><br>
genteel	najib; tarbiyatإ،ode<br><br>
gentility	esؤپlat; إ،erؤپfat<br><br>
gentle	ؤپheste; ؤپrؤپm; ؤپrؤپm kardan; mehrabؤپn; mehrbؤپn; molؤپyem; najib; rؤپm kardan<br><br>
gentle sex	jens-e zan<br><br>
gentle-hearted	xoإ،qalb<br><br>
gentleman	ؤپqؤپ<br><br>
gentlemanly	najibؤپne<br><br>
gently	bؤپ molؤپyemat; be ؤپrؤپmi; betadrij; molؤپyem<br><br>
gentry	esؤپlat<br><br>
gents	tuؤپlet-e mardؤپne<br><br>
genuflect	sojud kardan<br><br>
genuflection	roku'; sojud<br><br>
genuine	asl; asli; dorost; eyni; haqiqi; vؤپqei; xؤپles<br><br>
genus	jens; jens (ajnؤپs)<br><br>
geochemistry	إ¾eoإ،imi<br><br>
geographer	joqrؤپfidؤپn; yoqrؤپfiyؤپdؤپn<br><br>
geographic	joqrؤپfiyؤپyi; yoqrؤپfiyؤپyi<br><br>
geographical	ة،itؤپإ،enؤپsi; joqrؤپfiyؤپyi<br><br>
Geography	joqrؤپfi; yoqrؤپfiyؤپ; joqrؤپfiyؤپ<br><br>
geological	zaminإ،enؤپxti<br><br>
geologist	zaminإ،enؤپs<br><br>
geology	xؤپkإ،enؤپsi; zaminإ،enؤپsi<br><br>
geometric	hendesi<br><br>
geometry	hendese<br><br>
geophysics	إ¾eofizik<br><br>
geopolitics	إ¾eopolitik<br><br>
georgette	إ¾orإ¾et<br><br>
Georgia	ة،orjestؤپn<br><br>
Georgian	ة،orjestؤپni; gorji; ة،orji<br><br>
geostrategy	laإ،karkeإ،i; zaminإ،enؤپsi<br><br>
geranium	إ،am'dؤپni<br><br>
germ	janin; mikrob; notfe<br><br>
German	ؤپlmؤپni<br><br>
Germanic	ؤپlmؤپni<br><br>
Germany	ؤپlmؤپn<br><br>
germinate	javؤپne zadan; sabz kardan; sabz إ،odan<br><br>
germinated	javؤپnezade<br><br>
germination	ruyeإ،; sabz إ،odan<br><br>
gestation	ؤپbestani; bؤپrdؤپri; hؤپmeleة،i<br><br>
gesture	adؤپ; eإ،ؤپre; harekat; qiyؤپfe; إ¾est<br><br>
get	be dast ؤپvardan; fahmidan; farؤپham kardan; gir ؤپvardan; hؤپsel kardan; kasb kardan; raftan-o ؤپvardan; residan; robudan; tahiye kardan; tahsil kardan; tasarrof kardan; tavallod; zadan; zؤپyeإ،<br><br>
get a cold	cؤپyidan (cؤپ(y))<br><br>
get a shock	latme xordan<br><br>
get a slap	sili xordan<br><br>
get absent	qؤپyeb إ،odan<br><br>
get accepted	pazirofte إ،odan<br><br>
get access	dastresi peydؤپ kardan; dastresi yؤپftan<br><br>
get along well with	xub budan<br><br>
get angry	asabؤپni إ،odan<br><br>
get better	إ،afؤپ yؤپftan<br><br>
get bogged down	gir kardan<br><br>
get confused	إ¾ulidan<br><br>
get constricted	monqabez إ،odan<br><br>
get crack	tarak xordan<br><br>
get destroyed	nؤپbud إ،odan; virؤپn إ،odan<br><br>
get disconnected	qat' إ،odan<br><br>
get discounts	taxfif gereftanآ <br><br>
get disheveled	إ¾ulidan<br><br>
get drunk	إ،ؤپdxؤپri<br><br>
get engaged	nؤپmzad kardan<br><br>
get established	taإ،kil إ،odan<br><br>
get formed	taإ،kil إ،odan<br><br>
get found	peydؤپ إ،odan<br><br>
get founded	taإ،kil إ،odan<br><br>
get frustrated	nؤپomid إ،odan<br><br>
get gonorrhea	suzؤپk gereftan<br><br>
get happy	إ،ؤپd إ،odan<br><br>
get impression	bardؤپإ،t kardan<br><br>
get information	xabar gereftan<br><br>
get lost	gom إ،odan; gom إ،odan (إ،av, إ،ow)<br><br>
get marry	taإ،kil-e xؤپnevؤپde<br><br>
get naked	loxt إ،odan<br><br>
get nervous	asabi إ،odan<br><br>
get off	piyؤپde إ،odan; piyؤپde إ،odan (إ،av, إ،ow)<br><br>
get on	kؤپr kardan; savؤپr إ،odan (إ،av, إ،ow)<br><br>
get out	birun ؤپmadan; darؤپmadan<br><br>
get pregnant	hؤپmele إ،odan<br><br>
get ready	hؤپzer إ،odan; hؤپzer إ،odan (إ،av, إ،ow)<br><br>
get rich	movaffaq إ،odan<br><br>
get ripped	pؤپre إ،odan<br><br>
get scared	murmur إ،odan<br><br>
get stuck	gir kardan<br><br>
get the better of	sebqat jostan<br><br>
get the start	sebqat jostan<br><br>
get to know	ؤپإ،enؤپ إ،odan<br><br>
get up	bar xؤپstan; boland إ،odan; xؤپstan<br><br>
get used to	ؤپdat kardan<br><br>
get wet	tar إ،odan; xis xordan<br><br>
getaway	gardeإ،-e tafrihi; goriz; ة،oriz<br><br>
getter	daryؤپftkonande<br><br>
getting lost	ة،omإ،odan<br><br>
getting on	savؤپrإ،odan<br><br>
getting started	إ،oru' إ،odan<br><br>
getting to know	ؤپإ،nؤپ إ،odan (إ،av, إ،ow)<br><br>
getting up	barxؤپstegi<br><br>
getting wet	xis إ،odan<br><br>
geyser	ؤپtaإ،feإ،ؤپn<br><br>
gharry	doroإ،ke; ة،ؤپri<br><br>
ghastly	howlnؤپk; ranة،paride<br><br>
ghat	pellekؤپn<br><br>
ghazal	qazal (qazaliyؤپt)<br><br>
ghee	rowqan-e heyvؤپni<br><br>
ghetto	faqirؤپbؤپd<br><br>
ghost	ruh; ruh (arvؤپh); إ،abah; إ،abah (aإ،bؤپh)<br><br>
ghoul	sؤپdist<br><br>
gi	sarbؤپz<br><br>
giant	ؤپdam-e qulpeykar; qul<br><br>
gibbet	be dؤپr ؤپvixtan<br><br>
gibbosity	piإ،ؤپmadegi<br><br>
gibbous	barؤپmade; ة،uإ¾poإ،t; mohaddab<br><br>
giddiness	sarة،ije<br><br>
gift	atؤپ; atiyye; baxإ،eإ،; este'dؤپd; hedye; hedye (hadؤپyؤپ); hedye dؤپdan; kؤپdo; muhebat; ne'mat; piإ،keإ،; piإ،keإ، kardan; rahؤپvard; sowqؤپt<br><br>
gift packaging	kؤپdopici<br><br>
gift wrapping	kؤپdopici<br><br>
gifted	piإ،keإ،i; tizhuإ،; xoإ،qarihe; xoإ،tabâ€™; xoإ،zowq<br><br>
gifts	hadؤپyؤپ; kؤپdoyi<br><br>
gig	ferfere; kardan; six zadan<br><br>
gigantesque	إ،ؤپyؤپn<br><br>
gigantic	qulؤپsؤپ; qulpeykar<br><br>
giggle	herher; herher xandidan; kerker; kerker xandidan; xande kardan; xandidan<br><br>
gigolo	raqqؤپs; إ،ikpuإ،; إ¾igul<br><br>
Gilaki	ة،ilaki<br><br>
Gilan	ة،ilؤپn<br><br>
Gilani	ة،ilؤپni<br><br>
gilded	mazhab<br><br>
gilding	tazhib<br><br>
gill	ؤپbejow; duإ،ize<br><br>
gills	ؤپbإ،oإ،<br><br>
gimmick	hile; tadbir<br><br>
ginger	zanjabil<br><br>
gingivitis	piyore<br><br>
gink	heykal; vojud<br><br>
gippo	xoreإ،<br><br>
gipsy	kowli<br><br>
giraffe	zarrؤپfe<br><br>
gird	ؤپmؤپde kardan; mohؤپsereâ€Œ kardan; nirumand kardan<br><br>
girder	إ،ؤپhin-e tarؤپzu; tirؤپhan<br><br>
girdle	kamar; kamarband; korset<br><br>
girl	doxtar; doxtarbacce; duإ،ize<br><br>
girlfriend	dustedoxtar; rafiqe<br><br>
girlhood	doxtari<br><br>
girlie	doxtarؤپne<br><br>
girly	doxtarؤپne<br><br>
girt	mohؤپsereâ€Œ kardan<br><br>
girth	ab'ؤپd<br><br>
