Ісус	Иисус
падладзіць	подладить, подстроить; уладить
падласы	белобрюхий
падласіна	пежина
падлашчыцца	подольститься
падлеглы	подлежащий, подвластный, подчинённый
падлесак	подлесок
падлессе	подлесье
падлесьсе	см. падлессе
падлетак	подросток
падлеткавы	подростковый
падлеткаўскі	подростковый
падлога	пол
падломліваць	подламывать
падлоўчы	егерь
падлучыцца	подключиться
падлыгаць	поднизать
падлюка	подлюга
падлюстравы	подзеркальный
падлюстэрнік	подзеркальник
падлягаць	подлегать, подлежать
падлямаваць	оторочить, окаймить
падлямоўка	оторочка, обшивка
падляскваць	подщёлкивать
падлятаць	подлетать
падляцець	подлететь
падлёдны	подлёдный
падлёт	подлёт
падліваць	подливать
падлізванне	заискивание, лесть; подобострастность
падлізваньне	см. падлізванне
падлізлівы	заискивающий, льстивый, подобострастный
падлізнік	льстец, подлиза
падлізніцтва	заискивание, лесть; подобострастность
падлізьніцтва	см. падлізніцтва
падлік	подсчёт
падліковец	учётчик
падліковы	счётный, учётный
падлічаны	подсчитанный
падлічваць	подсчитывать
падлічыць	подсчитать
падмагчы	помочь, подсобить
падмазка	подмазка
падмазчык	подмазчик
падмайстар	подмастерье
падмаляваны	подрисованный, подкрашенный, подмалёванный, приукрашенный
падмаляваць	подрисовать, подкрасить, подмалевать, приукрасить
падман	обман
падманвацца	обманываться
падманваць	обманывать
падманка	обманка
падманлівы	обманчивый
падманны	обманный
падмануты	обманутый
падмануць	обмануть
падманшчык	обманщик
падмарожваць	подмораживать
падмахваць	подмахивать
падмахнуць	подмахнуть
падмацаванне	подкрепление
падмацаваны	подкреплённый
падмацаваньне	см. падмацаванне
падмацавацца	подкрепиться
падмацаваць	подкрепить
падмацоўвацца	подкрепляться
падмацунак	подкрепление
падмена	подмена
падменены	подменённый
падмерзнуць	подмёрзнуть
падмесці	подмести
падмесьці	см. падмесці
падмешваць	подмешивать
падмешка	примесь, подмесь
падмова	сговор
падмога	подмога
падморгваць	подмаргивать
падмосткі	подмостки
падмосце	подполье, подпол
падмосьце	см. падмосце
падмурак	фундамент, основание
падмурковы	фундаментный; фундаментальный; основательный, основной
падмуроўка	кладка фундамента, фундамент
падмываць	подмывать
падмыты	подмытый
падмышка	подмышка
падмянціць	подточить
падмяняць	подменять
падмятаць	подметать
падмёрзлы	подмёрзший
падмінаць	подминать
паднавіць	подновить, обновить
падназва	вторичное название
паднарад	поднаряд
паднасіцца	подноситься
паднаціснуць	поднажать
падначаленне	подчинение
падначалены	подчинённый, подвластный
падначаленьне	см. падначаленне
падначальвацца	подчиняться
падначаліцца	подчиниться
падначаліць	подчинить
паднаўленне	подновление, обновление
паднаўленьне	см. паднаўленне
падножжа	подножие; основание; пьедестал
падножка	подножие, основание, пьедестал; подножка
падносак	подмётка
падносіць	подносить
падноўлены	подновленный, обновлённый
паднырачны	подпочечный
паднябенне	нёбо, свод
паднябеньне	см. паднябенне
паднябесны	поднебесный
паднябессе	поднебесье
паднябесьсе	см. паднябессе
падняволены	подневольный
падняты	поднятый
падняцца	подняться
падняцце	поднятие
падняць	поднять
падняцьце	см. падняцце
паднімацца	подниматься
падобнасць	подобие, похожесть, схожесть
падобнасьць	см. падобнасць
падобны	подобный, похожий, сходный, схожий
падозранне	подозрение
падозраньне	см. падозранне
падол	подол
падолець	одолеть, осилить, победить, справиться
падонак	подонок; осадок
падораны	подаренный
падохнуць	подохнуть
падоўгу	подолгу
падоўжаны	продлённый; удлинённый
падоўжны	продольный
падоўжыць	удлинить
падпаветка	дровяной сарай
падпадаць	подпадать
падпазыцыя	см. падпазіцыя
падпазіцыя	вторичная позиция
падпал	поджог
падпалены	подожжённый
падпалка	растопка, подтопка
падпалкоўнік	подполковник
падпальваць	поджигать
падпальшчык	поджигатель
падпаліць	поджечь; затопить, растопить
падпампаваць	подкачать
падпарадкаванасць	подчинённость
падпарадкаванасьць	см. падпарадкаванасць
падпарадкаванне	подчинение
падпарадкаваны	подчинённый
падпарадкаваньне	см. падпарадкаванне
падпарадкавацца	подчиниться, повиноваться
падпарадкаваць	подчинить
падпарадкоўвацца	подчиняться
падпарадкоўваць	подчинять
падпаручнік	подпоручик
падпасці	попасть
падпасьці	см. падпасці
падпаха	подмышка
падперазаны	подпоясанный
падперазацца	подпоясаться
падперазаць	подпоясать
падперці	подпереть
падпечча	подпечек
падплываць	подплывать
падполле	подполье
падпольле	см. падполле
падпольны	подпольный
падпольшчык	подпольщик
падпора	подпора, подпорка
падпорны	подпорный
падправіць	подправить
падпражыць	поджарить, подкалить
падпрасаваць	подгладить, подутюжить
падпрацаваць	подработать
падпрэгчы	подпрячь
падпускаць	подпускать
падпяваць	подпевать
падпялёсткавы	подлепестный
падпёрты	подпёртый
падпільнаваць	подстеречь, подкараулить
падпільноўваць	подстерегать, подкарауливать
падпінак	ремень в упряжи
падпіраць	подпирать
падпісанне	подписание
падпісант	подписант, подписавшийся
падпісаны	подписанный
падпісаньне	см. падпісанне
падпісацца	подписаться
падпісаць	подписать
падпісваць	подписывать
падпіска	подписка
падпісны	подписной
падпісчык	подписчик
падпітак	подпитие
падпіхваць	подпихивать
падрабляць	подделывать
падрабнець	стать мельче, помельчать
падрабніць	сделать мельче, помельчить
падрабрынне	подреберье
падрабязак	подробность
падрабязна	подробно
падрабязнасць	подробность
падрабязнасьць	см. падрабязнасць
падрабязны	подробный, детальный
падрабіць	подделать; подвязать
падрад	подряд
падрадзіцца	подрядиться
падрадковы	подстрочный
падрадковік	подстрочник
падрадкоўны	подстрочный
падрадкоўнік	подстрочник
падрадчык	подрядчик
падражанне	подражание
падражаньне	см. падражанне
падражніць	подразнить
падразаць	подрезать
падраздзел	подраздел
падраздзяленне	подразделение
падразьдзел	см. падраздзел
падразьдзяленьне	см. падраздзяленне
падрамантаваць	подремонтировать
падрамаць	подремать
падрамнік	подрамник
падраны	подранный, порванный
падрапаны	поцарапанный, оцарапанный
падрапаць	поцарапать, оцарапать
падрастаць	подрастать
падрасці	подрасти
падрасьці	см. падрасці
падрахаваць	подсчитать
падрахунак	итог
падробка	подделка, подлог
падроблены	подделанный, подложный
падрослы	подросший, взрослый
падруба	нижнее бревно в срубе
падрукаваць	попечатать
падрульваць	подрулить
падрумяніць	подрумянить
падручнік	учебник
падрываць	подрывать
падрыгваць	подрагивать, подёргиваться; трястись
падрынкаць	подребезжать, побренчать
падрыхтаванасць	подготовленность, готовность
падрыхтаванасьць	см. падрыхтаванасць
падрыхтаваны	подготовленный, приготовленный, готовый
падрыхтавацца	подготовиться, приготовиться
падрыхтаваць	подготовить, приготовить, снарядить
падрыхтоўваць	подготавливать, готовить, снаряжать
падрыхтоўка	подготовка, приготовление, снаряжение
падрыхтоўчы	подготовительный, приготовительный
падрыў	подрыв
падрыўны	подрывной
падрыўнік	подрывник
падрэгуляваны	подрегулированный
падрэзчык	подрезчик
падсаджаны	подсаженный
падсадзіць	подсадить
падсаладзіць	подсластить, подсахарить, польстить
падсачыць	проследить, подсмотреть
падсведама	подсознательно
падсведамасць	подсознание
падсветка	подсветка
падсветлены	осветлённый
падсвечаны	подсвеченный
падсвечвацца	подсвечиваться
падсвечваць	подсвечивать
падсвечнік	подсвечник
падсвядома	подсознательно
падсвядомасць	подсознание, подсознательность
падсвядомы	подсознательный
падскарбі	помощник казначея
падскварыць	поджарить, заправить
падскок	подскок
падскокваць	подскакивать
падскочыць	подскочить
падскрабаць	подскребать
падскроневы	подвисочный
падскрэбці	подскоблить, подскрести
падскубці	нащипать, обдёргать
падскурны	подкожный
падсківічны	подчелюстной
падследны	подследственный
падслепаваты	подслеповатый
падслуханы	подслушанный
падслухаць	подслушать
падслухоўваць	подслушивать
падсмажаны	поджаренный
падсмажыць	поджарить
падсмаліць	опалить
падсобны	подсобный
падсоўваць	подсовывать
падсподна	снизу
падсправаздачнасць	подотчётность
падсправаздачнасьць	см. падсправаздачнасць
падспудна	подспудно
падспудны	подспудный
падстава	основание, повод, предлог
падставастваральны	основообразующий
падставовы	основной, основательный, основополагающий
падставіць	подставить
падстароста	помощник старосты
падстаўка	подставка
падстаўляць	подставлять
падстолле	пространство под потолком
падстраўнікавы	поджелудочный
падстрыгчы	подстричь
падстрыжаны	подстриженный
падстрэлены	подстреленный
падстрэліць	подстрелить
падстрэшак	чердак
падстрэшша	подстрешье, подстреха, застреха
падступацца	подступаться
падступаць	подступать
падступна	доступно
падступнасць	доступность
падступнасьць	см. падступнасць
падступны	доступный
падступіцца	подступиться
падсудны	подсудный
падсумаванне	суммирование, итог
падсумаваньне	см. падсумаванне
падсумаваць	суммировать, подытожить
падсумак	небольшая сумка
падсумоўваць	суммировать; определять итог
падсунуць	подсунуть
падсусед	квартирант, жилец
падсушаны	подсушенный
падсушваць	подсушивание
падсцерагчы	подстеречь
падсцяліць	подстелить
падсцёбнуць	подхлестнуть, подстегнуть
падсцілка	подстилка
падсыпаць	подсыпать
падсьведама	см. падсведама
падсьведамасьць	см. падсведамасць
падсьветка	см. падсветка
падсьветлены	см. падсветлены
падсьвечаны	см. падсвечаны
падсьвечвацца	см. падсвечвацца
падсьвечваць	см. падсвечваць
падсьвечнік	см. падсвечнік
падсьвядома	см. падсвядома
падсьвядомасьць	см. падсвядомасць
падсьвядомы	см. падсвядомы
падсьледны	см. падследны
падсьлепаваты	см. падслепаваты
падсьцерагчы	см. падсцерагчы
падсьцяліць	см. падсцяліць
падсьцёбнуць	см. падсцёбнуць
падсьцілка	см. падсцілка
падсячы	подсечь, подрубить, прирубить
падсівіць	слегка забелить молоком
падсілкавацца	подкрепиться, поесть
падсілкаваць	подкрепить
падсілкоўваць	подкреплять; подпитывать
падсітак	небольшое сито
падтаваць	подтаивать
падтакваць	поддакивать
падтасаваць	подтасовать
падтаць	подтаять
падтачыць	подточить; надставить, надшить, нарастить
падтаўчы	подтолочь
падточка	наточка; надставка, нашивка
падтрыманне	поддержание, поддержка
падтрыманы	поддержанный
падтрыманьне	см. падтрыманне
падтрымаць	поддержать
падтрымваць	поддерживать
падтрымка	поддержка, подспорье
падтрымліваць	поддерживать
падтрэсці	взбить, потрясти, встряхнуть
падтрэсьці	см. падтрэсці
падтуліць	поджать
падтынкаваць	подштукатурить
падтыннік	чистотел
падтэкст	подтекст
падубець	замёрзнуть, озябнуть, окоченеть, помёрзнуть
падубянець	одеревенеть, отвердеть, закоченеть, окоченеть
падужаць	осилить, одолеть
падужэлы	окрепший
падужэць	окрепнуть, набраться сил, стать сильнее
падуладны	подвластный
падумацца	подуматься
падумаць	подумать
падупадаць	слабеть, ослабевать, хиреть; приходить в упадок
падупасці	ослабеть, захиреть; прийти в упадок
падурнець	поглупеть
падушачка	подушечка
падушка	подушка
падушны	подушный
падушыць	подавить, помять, подавить, передавить
падфарбаваны	подкрашенный; приукрашенный
падфарбаваць	подкрасить; приукрасить
падфарбоўка	подкраска; приукрашивание
падфастрыгаваць	подметать
падхадзіцца	управиться
падхалім	подхалим
падхалімаж	подхалимаж
падхалімскі	подхалимский
падхалімства	подхалимство
падхапіцца	вскочить, подхватиться, подняться
падхапіць	подхватить
падхарашыць	прикрасить, приукрасить, принарядить
падхарчаваць	подкормить, дать поесть, покормить
падхват	подхват; подсак, сачок
падхмарны	подоблачный
падхоплены	подхваченный
падхрабрыцца	приободриться
падхіліць	подогнуть, подвернуть
падхінаць	подгибать, подворачивать
падцепліваць	утеплять; нагревать; отапливать
падцерабіць	подчистить, обрубить
падцерушыць	подсыпать, подтрусить, припорошить
падцерціся	подтереться
падцмокнуць	подщёлкнуть
падцукраваць	подсахарить
падцыраваны	подштопанный
падцыраваць	подштопать
падцэліць	попасть в цель; угадать, уловить момент
падцягваць	подтягивать
падцягнуць	подтянуть
падцяжкі	подтяжки
падцякаць	подтекать
падцяпліць	подогреть, затопить
падцяць	подсечь, подрубить
падцёк	подтёк
падцікаваць	подсмотреть, выследить
падціскаць	поджимать
падціснуты	поджатый
падціснуць	поджать, подобрать, крепче увязать
падчапіць	подцепить
падчарка	падчерица
падчарэўе	подбрюшие, подбрюшина
падчас	во время
падчасаны	подчёсанный
падчыстую	подчистую
падчытчык	подчитчик
падчышчаны	подчищенный
падчэплены	подцепленный
падшаляваць	подшить
падшалёўка	подшивка
падшклянак	подстаканник
падшкіпер	помощник шкипера
падшкіпэр	см. падшкіпер
падшлемнік	подшлемник
падшмаргнуць	поддёрнуть
падшрубаваць	подвинтить
падштурхнуць	подтолкнуть; подвинуть
падштурхоўванне	подталкивание; подвижка
падштурхоўваньне	см. падштурхоўванне
падштурхоўваць	подталкивать; подвигать
падшукаць	подыскать
падшчэп	привой, привитое растение
падшыванец	сорванец, оголец
падшыпнік	подшипник
падшыты	подшитый
падшыўка	подшивка
падшэрхнуць	затвердеть, подмёрзнуть
падшэфны	подшефный
падшэўка	подкладка
падыграць	подыграть
падыйсці	подойти
падыйсьці	см. падыйсці
падымацца	подниматься
падымчацца	подкатить, подбежать, примчаться
падыспад	вниз, подо что-либо
падысподам	внизу, в самом низу, под низом
падыспытны	экзаменуемый
падысці	подойти
падысьці	см. падысці
падыхаць	подыскать, приискать
падыход	подход
падыходзіць	подходить
падэшва	подошва
паездзіць	поездить
паездка	поездка
паезьдзіць	см. паездзіць
паенчыць	простонать, поклянчить, поканючить
паесці	поесть
паесьці	см. паесці
паехаць	поехать
паж	паж
пажабраваць	попросить подаяния
пажаваны	пожёванный
пажаданне	пожелание
пажаданы	желательный, угодный
пажаданьне	см. пажаданне
пажадаць	пожелать, захотеть
пажадлівы	плотоядный, чувственный; похотливый
пажаліцца	пожаловаться
пажаніцца	пожениться
пажар	пожар
пажарны	пожарный
пажарнік	пожарник
пажартаваць	пошутить, подшутить, подтрунить, поострить, сострить
пажарышча	пепелище
пажаўцелы	пожелтелый
пажвавець	стать живее, оживиться
пажлукціць	полакать, вылакать
пажмурыцца	пощуриться
пажоўклы	пожелтевший
пажоўкнуць	пожелтеть
пажурыцца	погрустить, попечалиться, покручиниться
пажывіцца	поживиться
пажылы	пожилой
пажытак	прибыль, польза; пожитки, скарб, пища
пажыццёва	пожизненно
пажыццёвы	пожизненный
пажыць	пожить
пажыцьцёва	см. пажыццёва
пажыцьцёвы	см. пажыццёвы
пажыўны	питательный
пажэрці	пожрать; сожрать
паз&apos;яўляцца	побыть
пазабавіцца	позабываться
пазабалочваць	заболотить
пазабаўляць	развлечь, позабавить, поразвлечь, позабавить
пазаблытваць	запутать, замешать
пазабруджваць	загрязнить, запачкать, замарать
пазабрукоўваць	замостить
пазабудоўваць	застроить
пазабіваць	поубивать; позабивать
пазавалакаць	затащить, заволочь, заслонить
пазаваць	пазить, позировать
пазаворваць	запахать
пазавінавачвацца	задолжать
пазавіхацца	поусердствовать, поспешить
пазагараць	позагорать
пазагартоўваць	закалить, прокалить
пазагойваць	залечить, заживить
пазадавацца	поважничать, почваниться
пазаддзе	охвостье, отбросы, охвостье
пазадзьдзе	см. пазаддзе
пазаеўрапейскі	внеевропейский
пазаземны	внеземной
пазазямны	внеземной
пазайздросціць	позавидовать
пазайздросьціць	см. пазайздросціць
пазаймацца	позаниматься
пазакасваць	засучить, завернуть, закатать
пазакаштарысны	внесметный
пазакласны	внеклассный
пазаклясны	см. пазакласны
пазакрэсліваць	зачеркнуть
пазакрэсьліваць	см. пазакрэсліваць
пазакілзваць	взнуздать, зауздать
пазакітоўваць	замазать
пазалазіць	залезть
пазалачоны	позолоченный
пазалетась	два года тому назад, в позапрошлом году
пазалеташні	позапрошлого года
пазалота	позолота
пазалочаны	позолоченный
пазаляцацца	поухаживать
пазаліваны	залитый, залитой
пазамалёўваць	зарисовать, замалевать, закрасить
пазамацоўваць	закрепить
пазамываць	замыть
пазамыкаць	запереть
пазамінулы	позапрошлый
пазанатоўваць	записать, пометить
пазапальваць	зажечь, затопить
пазапарушваць	засорить
пазаплюшчваць	закрыть, смежить, сомкнуть
пазапісваць	записать
пазарастаць	зарасти
пазарэлігійны	нерелигиозный
пазасмечваць	засорить
пазасыпаць	засыпать
пазасьмечваць	см. пазасмечваць
пазатульваць	закрыть, прикрыть
пазафарбоўваць	закрасить
пазахопліваць	захватить
пазахінаць	запахнуть, закутать, завернуть
пазацыроўваць	заштопать
пазацярушваць	слегка осыпать, запорошить
пазачарговасць	внеочерёдность, внеплановость
пазачарговасьць	см. пазачарговасць
пазачасавы	вневременный
пазачыняцца	закрыться, запереться, затвориться
пазачыняць	закрыть, запереть, затворить
пазашкольны	внешкольный
пазашлюбны	внебрачный
пазашморгваць	задёрнуть
пазашрубоўваць	завинтить, завернуть
пазаэтнічны	неэтнический
пазаэўрапейскі	см. пазаеўрапейскі
пазаўтра	послезавтра
пазаўчора	позавчера
пазаўчорашні	позавчерашний
пазбавіцца	избавиться; лишиться
пазбавіць	лишить, избавить
пазбаўленне	избавление; лишение
пазбаўлены	избавленный; лишённый
пазбаўленьне	см. пазбаўленне
пазбаўляцца	избавляться
пазбаўляць	лишать
пазбегнуць	избежать, избегнуть
пазбегчы	избежать, избегнуть
пазбыцца	избавиться
пазбяганне	избежание; избегание
пазбягаць	избегать
пазбіраць	собрать
пазвалакаць	стащить, стянуть, унести
пазвальваць	свалить
пазвальняць	уволить, сместить
пазванок	позвонок
пазваночнік	позвоночник
пазванчэць	стать более звонким
пазваны	позванный
пазваніць	позвонить
пазвоньваць	позванивать
пазгортваць	свернуть, сложить
пазграбнець	стать стройнее, красивее
паздаравець	стать здоровее, выздороветь
паздароўкацца	поздороваться
паздзеквацца	поиздеваться
паздзімаць	сдуть
паздымаць	поснимать
паздыхаць	подохнуть, передохнуть
пазелянець	позеленеть
паззяць	посиять, просверкать
пазлоснічаць	позлобствовать
пазмагацца	побороться, потягаться, поспорить
пазмацоўваць	скрепить
пазменна	посменно
пазмываць	смыть
пазнавальны	познавательный
пазнаванне	познавание, познание, узнавание
пазнаваньне	см. пазнаванне
пазнаваць	познавать, узнавать
пазнака	пометка, отметка
пазнанне	познание, узнавание
пазнаны	познанный, узнанный
пазнаньне	см. пазнанне
пазнаць	познать, узнать
пазначаны	обозначенный, помеченный
пазначаць	обозначать, помечать
пазначыць	обозначить, пометить
пазначэнне	обозначение, пометка
пазначэньне	см. пазначэнне
пазнаёмлены	познакомленный, ознакомленный
пазнаёміцца	познакомиться
пазнаёміць	познакомить, ознакомить
пазней	позже
пазногаць	ноготь
пазногцік	ноготок
пазногціць	кусать ногти
пазнікаць	исчезнуть
пазніцца	опаздывать, запаздывать
пазнішчаць	уничтожить, истребить
пазова	иск
пазоўны	исковой
пазразаны	срезанный
пазрываны	сорванный
пазур	ноготь, коготь
пазуха	пазуха
пазыка	заём, ссуда
пазыкатрымальнік	заёмщик
пазыковы	займовый; заёмный, ссудный
пазытрон	см. пазітрон
пазытывізм	см. пазітывізм
пазытывіст	см. пазітывіст
пазытывісцкі	см. пазітывісцкі
пазытыў	см. пазітыў
пазытыўны	см. пазітыўны
пазыцыйны	см. пазіцыйны
пазыцыя	см. пазіцыя
пазычальнік	заёмщик
пазычаны	одолженный, ссуженный; занятый, взятый в долг
пазычаць	одалживать, ссужать; занимать, брать в долг
пазычковы	кредитный
пазычыць	одолжить, ссудить, занять, позаимствовать
пазьбегнуць	см. пазбегнуць
пазьбегчы	см. пазбегчы
пазьбяганьне	см. пазбяганне
пазьбягаць	см. пазбягаць
пазьбіраць	см. пазбіраць
пазьдзеквацца	см. паздзеквацца
пазьдзімаць	см. паздзімаць
пазьзяць	см. паззяць
пазьменна	см. пазменна
пазьней	см. пазней
пазьнікаць	см. пазнікаць
пазьніцца	см. пазніцца
пазьнішчаць	см. пазнішчаць
пазьяўляцца	см. паз&apos;яўляцца
пазябліць	вспахать поле под весенний посев
пазяхаць	зевать, позёвывать
пазёмкі	земляника
пазіраваць	позировать
пазіраць	посматривать, поглядывать; смотреть, глядеть
пазітрон	позитрон
пазітывізм	позитивизм
пазітывіст	позитивист
пазітывісцкі	позитивистский
пазітыў	позитив
пазітыўны	позитивный
пазіхацець	посиять, просверкать, поблестеть
пазіцыйны	позиционный
пазіцыя	позиция
пай	пай
пайграць	поиграть
пайка	пайка
пайменаваць	поименовать
пайменна	поимённо
пайменны	поимённый
пайсці	пойти
пайсьці	см. пайсці
пайшчык	пайщик
пакавацца	паковаться
пакаваць	паковать
паказ	показ
паказальны	показательный, примечательный, указательный
паказальнік	показатель
паказанне	показание
паказаны	показанный
паказаньне	см. паказанне
паказацца	показаться
паказаць	показать
паказванне	показ
паказваньне	см. паказванне
паказвацца	показываться
паказваць	показывать
паказнік	показатель
паказчык	показатель
паказытаць	пощекотать
паказьнік	см. паказнік
пакаламуціць	помутить, взбаламутить
пакалаціць	потрясти, помолотить, обить
пакалашмаціць	потрепать, исколошматить
пакаленне	поколение
пакаленьне	см. пакаленне
пакалець	помёрзнуть, помёрзнуть, позябнуть
пакалечаны	покалеченный
пакалмаціць	взлохматить
пакалонна	по колоннам
пакалыхацца	покачаться, поколебаться
пакалённа	см. пакалонна
пакамечаны	скомканный, смятый, помятый
пакамечыць	скомкать, смять, помять
пакамячыць	скомкать, помять, покомкать
пакаранне	кара, наказание, см. пакараньне сьмерцю
пакараны	покаранный, наказанный, см. пакараны сьмерцю
пакараны сьмерцю	казнённый
пакараньне	см. пакаранне
пакараньне сьмерцю	казнь, смертная казнь
пакарацець	укоротиться, стать короче
пакараць	покарать, наказать
пакарміць	покормить
пакарыстацца	попользоваться
пакастрычніцкі	послеоктябрьский
пакатаваць	подвергнуть пыткам
пакатацца	покататься
пакаты	покатый
пакахаць	полюбить
пакаціцца	покатиться
пакаштаваць	попробовать, отведать
пакаянне	покаяние
пакаяньне	см. пакаянне
пакаяцца	покаяться; раскаяться
пакаёвы	комнатный
пакаёўка	горничная
паквапіцца	позариться, посягнуть, покуситься
паквартальна	поквартально
пакгаўз	пакгауз
пакепліваць	подшучивать, подтрунивать
пакет	пакет
пакецік	пакетик
пакладанне	холощение
пакладаны	холощёный
пакладаньне	см. пакладанне
пакладацца	ложиться, класться
пакладзены	положенный
паклады	залежи
паклажа	кладь
пакланенне	поклонение
пакланеньне	см. пакланенне
пакланяцца	поклоняться
пакланіцца	поклониться
паклапаціцца	похлопотать, позаботиться
пакласці	положить; уложить
пакласціся	положиться; улечься
пакласьці	см. пакласці
пакласьціся	см. пакласціся
пакленчыць	стать на колени
паклон	поклон
паклёп	поклёп
паклёпнік	клеветник, кляузник, ябедник
паклёпнічаць	клеветать, кляузничать, ябедничать
пакліканне	призвание; призыв, зов
пакліканы	призванный
пакліканьне	см. пакліканне
паклікаць	позвать, окликнуть, подозвать; пригласить; призвать
пакой	комната
пакойнік	покойник
пакойчык	комнатушка
паколваць	покалывать
паколькі	поскольку, так как
пакончыць	покончить
пакора	покорность, подчинение, смирение
пакорлівасць	покорность, подчинение, смирение
пакорлівасьць	см. пакорлівасць
пакорлівы	покорный, смиренный, кроткий
пакорнасць	покорность
пакорнасьць	см. пакорнасць
пакорны	покорный
пакорпацца	повозиться, покопаться
пакоша	скошенный луг
пакоік	комнатка
пакоўзацца	покататься
пакоўны	ёмкий, вместительный
пакпіць	поиздеваться, пошутить, подтрунить
пакрадзены	украденный, похищенный
пакрака	неряха, растяпа
пакрасавацца	покрасоваться, пожить беззаботно, счастливо
пакрасаваць	покрасоваться
пакрасці	украсть, похитить
пакрасьці	см. пакрасці
пакратацца	подвигаться, пошевелиться
пакратаць	потрогать, подвигать
пакроены	покроенный, раскроенный
пакрой	покрой
пакрочыць	пошагать
пакроіць	покроить, раскроить
пакруглець	покруглеть, округлеть
пакруціць	покрутить, повертеть
пакручастасць	извилистость
пакручастасьць	см. пакручастасць
пакручасты	извилистый, вьющийся
пакручваць	покручивать
пакрывацца	покрываться
пакрываць	покрывать
пакрывец	воловик
пакрыкваць	покрикивать
пакрысе	понемногу, постепенно
пакрыты	покрытый
пакрытыкаваць	покритиковать
пакрыху	понемногу
пакрыццё	покрытие
пакрыць	покрыть
пакрыцьцё	см. пакрыццё
пакрычаць	покричать
пакрышка	покрышка
пакрышыць	нарезать, измельчить
пакрыўдаваць	обидеться
пакрыўджаны	обиженный
пакрыўдзіцца	обидеться
пакрыўдзіць	обидеть
пакрыўлены	искривлённый
пакрэсліць	почеркать, помарать, исчертить
пакрэсьліць	см. пакрэсліць
пакт	пакт
пакудлаціць	взъерошить, взлохматить, спутать
пакулле	пакля
пакуль	пока, покуда, доколе
пакульгваць	похрамывать, прихрамывать
пакунак	упаковка, пакет, свёрток
пакупнік	покупатель
пакупніцкі	покупательный
пакурваць	покуривать
пакуродымець	покоптить, покоптеть
пакуродыміць	покоптить
пакурыць	покурить
пакурэць	покоптить
пакусаны	покусанный
пакусваць	покусывать
пакута	страдание, мучение, мука, терзание
пакутаваць	страдать, мучиться, терзаться
пакутлівы	страдальческий, мучительный; томительный
пакутны	страдальческий, мученический
пакутнік	страдалец, мученик
пакутніца	страдалица, мученица
пакутніцкі	страдальческий, мученический
пакутніцтва	страдальчество, мученичество
пакушэнне	покушение
пакушэньне	см. пакушэнне
пакідаць	покидать
пакідзішча	покинутый, оставленный кем-либо человек
пакінутасць	заброшенность
пакінутасьць	см. пакінутасць
пакінуты	покинутый; заброшенный
пакінуць	прекратить
пакіраваць	поруководить, поправить
пакітаваць	замазать
пал	температура, жар; накал, страсть
палавець	выделяться своим палевым цветом
палавіна	половина
палавінка	половинка
палавінны	половинный; половинчатый
палавініць	делить пополам
